eval,source,viewport,level,name,evidence,report_path,suite,model,model_slug,source_kind,screenshot_name,bbox_px
implementation-plan,deterministic,mobile-deep,fail,container_text_overflow,main.page.stack > section > div.card > pre.reference-panel.mono > code spills within body > main.page.stack > section > div.card > pre.reference-panel.mono right=38px left=0px scrollX=0px (449/427px),results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile-deep.json,publish,minimax27,minimax27,clean-final,,
benchmark-comparison,deterministic,mobile-deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile-deep.json,publish,minimax27,minimax27,clean-final,,
benchmark-comparison,deterministic,mobile-deep,fail,grid_list_item_children,"grid-based insight/takeaway list items should wrap content in one child; examples: Token comparability: Provider token schemas differ; cached, reasoning, and effective token | Checker limitations: Checker warnings are mechanical contract signals, not a complete huma | Screenshot validation: Same:same screenshot pairs validate geometry and rendering contract | Wall time noise: Wall time includes model latency and harness overhead; small differences ",results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile-deep.json,publish,minimax27,minimax27,clean-final,,
benchmark-comparison,vlm,deep,warn,vision_clipped_content,"Both chart panel titles in the quality/cost section appear clipped at the left edge: the titles render as “uality Compliance Metrics” and “uality vs. Cost Tradeoff,” missing the leading “Q”.",results/publish/models/minimax27/reports/vision-findings.json,publish,minimax27,minimax27,clean-final,benchmark-comparison-deep.png,"{'x': 75, 'y': 385, 'width': 860, 'height': 30}"
benchmark-comparison,vlm,mobile-deep,warn,vision_clipped_content,"The two chart titles are visibly clipped in the mobile rendering, with the leading “Q” missing from each title.",results/publish/models/minimax27/reports/vision-findings.json,publish,minimax27,minimax27,clean-final,benchmark-comparison-mobile-deep.png,"{'x': 33, 'y': 488, 'width': 333, 'height': 18}"
benchmark-comparison,vlm,desktop,warn,vision_clipped_content,"Both chart panel titles in the quality/cost section appear clipped at the left edge, showing “uality...” instead of “Quality...”.",results/publish/models/minimax27/reports/vision-findings.json,publish,minimax27,minimax27,clean-final,benchmark-comparison-desktop.png,"{'x': 75, 'y': 385, 'width': 860, 'height': 30}"
benchmark-comparison,vlm,mobile,warn,vision_clipped_content,The chart titles are clipped in the mobile viewport; the leading “Q” is missing from each chart title.,results/publish/models/minimax27/reports/vision-findings.json,publish,minimax27,minimax27,clean-final,benchmark-comparison-mobile.png,"{'x': 33, 'y': 488, 'width': 333, 'height': 18}"
module-explainer,vlm,deep,fail,vision_unstyled_render,"The artifact appears to be rendered with browser-default styling: Times-like text, white background, plain list/heading layout, and no visible Birch card/grid/module styling across the full deep page.",results/publish/models/minimax27/reports/vision-findings.json,publish,minimax27,minimax27,clean-final,module-explainer-deep.png,"{'x': 0, 'y': 0, 'width': 1365, 'height': 3000}"
module-explainer,vlm,mobile-deep,fail,vision_unstyled_render,"The mobile deep render is also browser-default styled, with plain headings/text and no visible Birch layout or component styling. The horizontal scrollbar reinforces that the intended responsive styling is not applied.",results/publish/models/minimax27/reports/vision-findings.json,publish,minimax27,minimax27,clean-final,module-explainer-mobile-deep.png,"{'x': 0, 'y': 0, 'width': 390, 'height': 3000}"
module-explainer,vlm,desktop,fail,vision_unstyled_render,"The desktop viewport shows an unstyled default HTML render rather than the intended Birch artifact styling: plain white background, default fonts, and no cards/rails/component styling.",results/publish/models/minimax27/reports/vision-findings.json,publish,minimax27,minimax27,clean-final,module-explainer-desktop.png,"{'x': 0, 'y': 0, 'width': 1365, 'height': 900}"
module-explainer,vlm,mobile,fail,vision_unstyled_render,"The mobile viewport is visibly unstyled with default browser typography and layout, and it shows horizontal overflow instead of a usable responsive Birch layout.",results/publish/models/minimax27/reports/vision-findings.json,publish,minimax27,minimax27,clean-final,module-explainer-mobile.png,"{'x': 0, 'y': 0, 'width': 390, 'height': 900}"
